id	clade	short-clade	subclade
A_Croatia_10136RV_2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Thailand_8_2022_HA	3C.2a1b.2a.2a.3a.1	2a.3a.1	J
A_Darwin_6_2021_HA	3C.2a1b.2a.2a	2a	G.1
A_South_Africa_R07876_202023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J
A_Kenya_KNH13125_Human_2025	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Mauritius_1186307_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2
A_Mauritius_1186304_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Mauritius_1186264_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.1
A_Mauritius_1186095_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2
A_Ghana_7555_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_7376_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_7129_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_7019_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_6229_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_6173_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_1818_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_1786_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Mauritius_I_176_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2
A_Mauritius_I_183_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Mauritius_I_181_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2
A_Mauritius_I_186_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Mauritius_I_185_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2
A_Ghana_FS_24_7406_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7405_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7394_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7328_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7259_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7198_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7129_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7113_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7456_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7450_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7444_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7443_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7440_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7433_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7426_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7423_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
A_Ghana_FS_24_7723_2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2
